CHEMBL1201207,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)(O)O)O)C)O)F)C
CHEMBL1201216,CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4
CHEMBL1201220,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
CHEMBL1201237,CC(C)(C)NC[C@@H](COC1=CC=CC2=C1CCCC2=O)O
CHEMBL1201346,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O
CHEMBL1201353,CN(C)CC[C@@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
CHEMBL1201469,
CHEMBL1201631,
CHEMBL1201891,CC1=N[C@@]2([C@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C
CHEMBL120770,CC1=CC(=O)OC2=C1C=CC(=C2)OC/C=C/C3=CC(=O)C(O3)(C)C
CHEMBL1208572,CC[C@H]([C@H]1CC[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C(=O)O
CHEMBL12089,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-]
CHEMBL121,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
CHEMBL12131,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl
CHEMBL1213717,CC1CC/C(=N\NC2=NC(=CS2)C3=CC(=CC=C3)OC)/C1
CHEMBL1213718,CC\1CCC/C1=N\NC2=NC(=CS2)C3=CC(=CC=C3)OC
CHEMBL1213719,COC1=CC=CC(=C1)C2=CSC(=N2)NN=C3CCCC3
CHEMBL1213774,CCCCCC/C(=N/NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C
CHEMBL1213775,CCCCC/C(=N/NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C
CHEMBL1213776,CCC/C(=N/NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C
CHEMBL1213777,CCC(=NNC1=NC(=CS1)C2=CC(=CC=C2)OC)CC
CHEMBL1213778,CC(=NNC1=NC(=CS1)C2=CC(=CC=C2)OC)C
CHEMBL1213779,COC1=CC=CC(=C1)C2=CSC(=N2)NN=C3CCCCC3
CHEMBL1213838,CC\1CCCC/C1=N\NC2=NC(=CS2)C3=CC(=CC=C3)OC
CHEMBL1213839,CC1CCC/C(=N\NC2=NC(=CS2)C3=CC(=CC=C3)OC)/C1
CHEMBL1213840,CC1CCC(=NNC2=NC(=CS2)C3=CC(=CC=C3)OC)CC1
CHEMBL1213841,COC1=CC=CC(=C1)C2=CSC(=N2)NN=C3CCCCCC3
CHEMBL1213842,COC1=CC=CC(=C1)C2=CSC(=N2)N/N=C/C3=CC=CO3
CHEMBL1213843,C/C(=N\NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C3=CC=CO3
CHEMBL1213911,COC1=CC=CC(=C1)C2=CSC(=N2)N/N=C/C3=CC=CS3
CHEMBL1213912,C/C(=N\NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C3=CC=CS3
CHEMBL1213913,C/C(=N\NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C3=CC=CC=N3
CHEMBL1213914,COC1=CC=CC(=C1)C2=CSC(=N2)N/N=C/C3=CN=CC=C3
CHEMBL1213915,C/C(=N\NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C3=CN=CC=C3
CHEMBL1213916,COC1=CC=CC(=C1)C2=CSC(=N2)N/N=C/C3=CC=NC=C3
CHEMBL1213968,C/C(=N\NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C3=CC=NC=C3
CHEMBL1213969,COC1=CC=CC(=C1)C2=CSC(=N2)N/N=C/C3=CC=CC4=CC=CC=C43
CHEMBL1213970,C/C(=N\NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C3=CC=CC4=CC=CC=C43
CHEMBL1213971,COC1=CC=CC(=C1)C2=CSC(=N2)N/N=C/C3=C4C(=CC=C3)OCO4
CHEMBL1213972,COC1=CC=CC(=C1)C2=CSC(=N2)N/N=C/C3=CNC4=CC=CC=C43
CHEMBL1214023,C/C(=N\NC1=NC(=CS1)C2=CC(=CC=C2)OC)/C3=CC4=CC=CC=C4OC3=O
CHEMBL1214185,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
CHEMBL1214402,C1=CC(=NC=C1C(F)(F)F)NC2=C3C(=NC=C2)N=C(C=N3)C4=C(C=C(C=N4)C(=O)N)C(F)(F)F
CHEMBL1215658,C1[C@H]([C@@H]1N)C2=CC=C(C=C2)OCC[C@@H](C(=O)NCC3=CC=CC=C3)NC(=O)C4=CC=CC=C4
CHEMBL121752,CCOC(=O)C1=CC2=C(CC1=O)C=CC(=C2)[N+](=O)[O-]
CHEMBL1219,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC
CHEMBL122,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
CHEMBL1220,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C
CHEMBL12208,CC1=CC(=O)OC2=C1C=CC(=C2)O
CHEMBL1221,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
CHEMBL1221512,CC[C@H](C)[C@@H](CO[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCS(=O)(=O)C)C(=O)OC(C)C)NC[C@H](CS)N
CHEMBL1221929,CC1=CC2=C(C=C1)OC(=O)C(=C2)C3=CC=CC=C3Br
CHEMBL1221930,CC1=CC2=C(C(=C1)Br)OC(=O)C(=C2)C3=CC=CC=C3
CHEMBL1221980,CC1=CC2=C(C(=C1)Br)OC(=O)C(=C2)C3=CC=C(C=C3)OC
CHEMBL1221981,CC1=CC2=C(C(=C1)Br)OC(=O)C(=C2)C3=CC(=CC(=C3)OC)OC
CHEMBL1221982,CC1=CC2=C(C(=C1)Br)OC(=O)C(=C2)C3=CC(=C(C(=C3)OC)OC)OC
CHEMBL1222279,COC1=CC=CC=C1/C=C\2/C(=O)N(C(=O)S2)CCN
CHEMBL1222280,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CCN
CHEMBL1222281,C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CCC#N
CHEMBL122239,CC1=CC2=C(C=C(C=C2)OC/C=C/C3=CC(=O)C(O3)(C)C)OC1=O
CHEMBL122279,C1C2=CC=CC=C2C=C(C1=O)C(=O)O
CHEMBL122697,CCOC(=O)C1=CC2=C(CC1=O)C=CC(=C2)Cl
CHEMBL122750,C1C2=C(C=C(C=C2)Cl)C=C(C1=O)C(=O)O
CHEMBL1230333,C1=CSC(=C1)CCCC(=O)O
CHEMBL123071,C1C2=C(C=C(C=C2)[N+](=O)[O-])C=C(C1=O)C(=O)O
CHEMBL1230813,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O
CHEMBL1231,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
CHEMBL1231107,C1CC1NC2=NC(=NC(=N2)N)N
CHEMBL1231530,C1=CC=C(C=C1)C(=O)NCCC(=O)O
CHEMBL123155,C1C2=CC=CC=C2C=C(C1=O)C(=O)Cl
CHEMBL123292,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C
CHEMBL1235242,C1=CC(=CC=C1C[C@@H](C(=O)O)N)F
CHEMBL1235698,CN[C@@H]1CCC2=CC=CC=C12
CHEMBL1235738,C#CCN[C@H]1CCC2=CC=CC=C12
CHEMBL123609,C1C2=C(C=C(C=C2)Br)C=C(C1=O)C(=O)O
CHEMBL1236282,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O
CHEMBL1237,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O
